r y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19
2.121212121212121104e+00 1.054234236719777673e-01 2.236254441526800973e-01 -3.689335790761315015e-01 -3.952450680559352891e-01 2.239037769754539664e-01 -4.850523416122788645e-02 2.833072830362525218e-01 2.584706564019498276e-01 9.171738367517837803e-03 2.398838142664271034e-01 -2.183904196816733034e-01 2.986095787165407925e-02 -2.442494484753137129e-01 -1.681793669828595683e-01 -1.094128482665519958e-01 -2.393728424977616398e-01 7.010762463260959698e-02 -1.761118324960618264e-01 1.946311425591179256e-01 -3.651847533219801378e-02
2.191919191919192045e+00 9.051362637310211845e-02 1.983985547774056724e-01 -3.443599734925244515e-01 -3.934417649877209877e-01 2.654436506022863074e-01 1.467644711547521491e-02 2.468705314068102841e-01 2.832703038942389617e-01 -6.358227639647180685e-02 1.910377502775095770e-01 -2.508481893418122999e-01 -5.007800704157309296e-02 -2.060360218073738203e-01 -2.170573903193279974e-01 -2.621101043947235074e-02 -2.233510937256985851e-01 1.468772563891921623e-01 -1.032630715665296128e-01 2.223253591835925302e-01 5.613991749725197322e-02
2.262626262626262541e+00 7.732493491155086052e-02 1.749574284867413398e-01 -3.185383376241062714e-01 -3.859217549568990657e-01 2.989049689010022659e-01 7.536410145683929140e-02 2.004547418809189130e-01 2.920443081188784928e-01 -1.299388188192264759e-01 1.297302385981541073e-01 -2.612098928038197321e-01 -1.228560895833935435e-01 -1.477260884180518485e-01 -2.400768567878451276e-01 5.758580123130792316e-02 -1.785050454243823637e-01 2.003825522081409960e-01 -1.716589572805197680e-02 2.133292210400724587e-01 1.363531787097266579e-01
2.333333333333333037e+00 6.572852861653052936e-02 1.533665667719045500e-01 -2.921267938512466800e-01 -3.735380800581228899e-01 3.241795948432582564e-01 1.317261795994929818e-01 1.467245892573856292e-01 2.852569053435822788e-01 -1.860751336434603442e-01 6.097243027685936984e-02 -2.496997664412582141e-01 -1.821988807364507412e-01 -7.614087607605914132e-02 -2.358333268431479224e-01 1.318445684866018097e-01 -1.118356575114625995e-01 2.241042789255483780e-01 6.886365898012242193e-02 1.705436552743420098e-01 1.911679610538405960e-01
2.404040404040403978e+00 5.559260266728492661e-02 1.336468629779173078e-01 -2.656998558048798698e-01 -3.571641081401728535e-01 3.414481518844338370e-01 1.822976704324097419e-01 8.842383910628395793e-02 2.641616545911273928e-01 -2.291038063113338130e-01 -1.004061510452927339e-02 -2.183089446901338715e-01 -2.234240919442728734e-01 9.695992811419914398e-04 -2.059694965968950076e-01 1.881221066797141295e-01 -3.277118915256980319e-02 2.159761963686248898e-01 1.421748606906073631e-01 1.020448265222796136e-01 2.124558752437010756e-01
2.474747474747474474e+00 4.678523899568964167e-02 1.157816520600400134e-01 -2.397451120619851217e-01 -3.376625506243219887e-01 3.511342053956408860e-01 2.259988724299295815e-01 2.822789318025622357e-02 2.306492184335978968e-01 -2.571713922552562592e-01 -7.832311828445226443e-02 -1.704880082350966330e-01 -2.437448804623033871e-01 7.577022949948145070e-02 -1.547909656968691761e-01 2.205565326830228323e-01 4.818343052595117776e-02 1.783981818542143549e-01 1.925912573020605312e-01 1.952660596530928286e-02 1.979893159273947434e-01
2.545454545454545414e+00 3.917684398136177248e-02 9.972287558892087289e-02 -2.146632029722549961e-01 -3.158593313226844557e-01 3.538545881387378800e-01 2.621333148340707631e-01 -3.138147701803958856e-02 1.870740481652064524e-01 -2.694757201373932931e-01 -1.394367718335526307e-01 -1.107462144878905985e-01 -2.423727460758706709e-01 1.411220817606705369e-01 -8.862122074012498962e-02 2.263837948375178044e-01 1.208374596731914968e-01 1.176356293659018282e-01 2.137386987006399952e-01 -6.371841801645933279e-02 1.514806132827830887e-01
2.616161616161615910e+00 3.264215261198747525e-02 8.539714673237126796e-02 -1.907705847989636105e-01 -2.925226753003258295e-01 3.503687560608743645e-01 2.903677849400329025e-01 -8.821482948430695026e-02 1.360737527621421195e-01 -2.662102939559978232e-01 -1.897534652881714412e-01 -4.420195726149489523e-02 -2.204300356382555559e-01 1.912269111324182702e-01 -1.499030020304416982e-02 2.060495620149624396e-01 1.765639794590129208e-01 4.273621311654669797e-02 2.037343963768711297e-01 -1.349311561144621030e-01 8.165047646888118349e-02
2.686868686868686851e+00 2.706181270191988786e-02 7.271153715869384249e-02 -1.683045396638635782e-01 -2.683474903784517362e-01 3.415296807687089320e-01 3.106980131414608381e-01 -1.404450736288520019e-01 8.039363700669159563e-02 -2.484486465772356434e-01 -2.266306838026099502e-01 2.387173630921374592e-02 -1.806994274148562285e-01 2.220826635794876658e-01 5.823886774401106081e-02 1.629387109919309684e-01 2.092613509300556007e-01 -3.584943039822784810e-02 1.651859230508412324e-01 -1.837937251171630482e-01 5.464935334537467798e-04
2.757575757575757347e+00 2.232357398783260671e-02 6.155894645129596915e-02 -1.474298844081653737e-01 -2.439448594708373830e-01 3.282383233929253019e-01 3.234038586587536512e-01 -1.866487899912309956e-01 2.272686805005911387e-02 -2.179843201814639919e-01 -2.484962650309101295e-01 8.846757805803059926e-02 -1.272503765725069846e-01 2.317229456759517803e-01 1.237059144302945918e-01 1.027885181373108525e-01 2.159299794997495692e-01 -1.077324712821255831e-01 1.045539199838881467e-01 -2.038375896511541441e-01 -7.856230933870783639e-02
